Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
SE.ORNOVOC_Retirements,projects-usd/yr^2,"Calculates the outflux of other revenue net of variable operating cost, associated with retirement of on-line facilities",Array | Internal Calculation,,
SE.ORNOVOC_to_Startup_C,projects-usd/yr^2,"Calculates the movement of other revenue net of variable operating cost, associated with facilities coming on-line.",Array | Internal Calculation,,
SE.Other_rev_net_of_vbl_cost_per_gal,USD per gallon,"Calculates other revenues net of operating costs, on a per gallon of production basis, for on line facilities",Array | Internal Calculation | Module Interface,,
SE.other_rev_scale_factor,Unitless,"exponent for scale factor for other (coproduct, power sales) revenue",scalar | Constant |Techno Economic Input,,
SE.output_bb_gpy_by_tech,billion GPY,Calculates flow of fuel production in billion gallons per year,scalar | Internal Calculation,,
SE.Output_Capacity,gallons per year,Calculates total commercial scale industry output per year under full utilization for on line facilities,Array | Internal Calculation | Sector Interface | Module Interface,,
SE.Output_Capacity_incl_Pipeline,gallons per year,"Calculates total commercial scale industry output per year under full utilization, including both on line facilites and facilities under development",Array |  Module Interface,,
SE.Output_Capacity_Pipeline,gallons per year,Calculates total commercial scale industry output per year under full utilization for facilities under development,Array | Internal Calculation,,
SE.Output_gpy_by_region,gallons per year,Applies current utilization factors to output capacity in order to calculate actual output  by technology (and in some modules) by region,Sector Interface,,
SE.Output_gpy_by_Technology,gallons per year,Calculates total output by conversion pathway,Array | Internal Calculation | Sector Interface | Module Interface,,
SE.P_Success,Unitless,"Calculates probability that facility will successfully be developed, based on commercial maturity input",Array | Internal Calculation,,
SE.PC_dev_time,years,Dwell time between initiation and completion of pre commercial (PC) development effort,scalar | Constant | Techno Economic Input,,
SE.PC_learning_logic,per year,Calculates rate of increase in maturity at pre commercial (PC) level,scalar | Internal Calculation,,
SE.PC_Maturity,Unitless,Calculates current state of maturity at pre commercial (PC) level,scalar | Internal Calculation,,
SE.PC_maturity_gap,Unitless,"Difference between full maturity (i.e., maturity =1) and current level of pre commercial (PC) maturity",scalar | Internal Calculation,,
SE.PC_op_time,years,Assumed time for pre commercial (PC) operations to be on-line and generating learning,scalar | Constant | Techno Economic Input,,Program Scenarios
SE.PC_Progress_Ratios,1/doubling,Assumed progress ratio for learning curve at pre commercial (PC) level,scalar | Constant | Techno Economic Input,,Progress Ratios
SE.PC_Projects_in_Development,Projects,Calculates the total number of pre commercial (PC) projects that are in development but not yet operational,scalar  | Internal Calculation,,Program Scenarios
SE.PC_Scale_Operations,Projects,Calculates the total number of pre commercial (PC) projects that are operational and generating learning,scalar  | Internal Calculation,,Program Scenarios
SE.PC_start,Projects,Defines scenario over time for annual pre-commercial (PC) project starts.  Projects spend time in development before becoming operational,scalar | Graphical function | scenario input,,Program Scenarios
SE.per_plant_L_G_exposure_C,US Dollars,Calculates the per-project exposure associated with loan guarantees for the &quot;next&quot; facility investment,Array | Internal Calculation,,
SE.Pilot_dev_time,years,Dwell time between initiation and completion of pilot development effort,scalar | Constant | Techno Economic Input,,Program Scenarios
SE.pilot_learning_logic,per year,Calculates rate of increase in maturity at pilot level,scalar | Internal Calculation,,
SE.Pilot_Maturity,Unitless,Calculates current state of maturity at pilot level,scalar | Internal Calculation,,
SE.pilot_maturity_gap,Unitless,"Difference between full maturity (i.e., maturity =1) and current level of pilot maturity",scalar | Internal Calculation,,
SE.Pilot_Multipliers,Unitless,"Translates pilot-scale maturity into a set of multipliers that characterize the &quot;current&quot; state of technology from the perspective of piloting AND demoing. Captured as weighted average, with weighting factor dynamically determined by indices of demo maturity. After winding through multiple learning curves, resultant multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
SE.pilot_op_experience_per_year,HoursPerProjectPerYr,Provides an estimate of the number of hours each year that each pilot-scale operation is generating experience,scalar | Constant | Techno Economic Input,,Program Scenarios
SE.Pilot_op_time,years,Assumed time for pilot operations to be on-line and generating learning,scalar | Constant | Techno Economic Input,,Program Scenarios
SE.Pilot_Progress_Ratios,1/doubling,Assumed progress ratio for learning curve at pilot scale,scalar | Constant | Techno Economic Input,,Progress Ratios
SE.Pilot_Projects_in_Development,Projects,Calculates the total number of pilot projects that are in development but not yet operational,scalar | Internal Calculation,,Program Scenarios
SE.Pilot_Scale_Operations,Projects,Calculates the total number of pilot projects that are operational and generating learning,scalar | Internal Calculation,,Program Scenarios
SE.Pilot_start,Projects,Defines scenario over time for annual pilot.  Projects spend time in development before becoming operational,scalar | Graphical function | scenario,,Program Scenarios
SE.pioneer_capacity_scale_factor,Unitless,Estimate of scale factor for &quot;pioneer&quot; facilities for a given pathway,scalar | Constant | Techno Economic Input,,
SE.Pipeline_Potential_Plant_Output_gal_per_yr_C,gallons per year,Calculates potential annual fuel production at full utilization for facilities under construction,Array | Internal Calculation,,
SE.Plant_Economic_Lifetime,years,Estimated Plant Economic Lifetime--used as input to net present value calculation,scalar | Constant | Techno Economic Input,,
SE.plant_planning,Projects per Year,Calculates continuous influx pressure for facility investment into Plant Start Accumulator.,Array | Internal Calculation,,
SE.Plant_Start_Accumulator,Projects,Stock that accumulates continuous signal and then ejects discrete facility quantity.,Array | Internal Calculation,,
SE.Plant_Utilization_Factors,Unitless,Calculates overall utilization of on line facilities by pathway,Array | Internal Calculation,,
SE.Platform_Attr,Unitless,Calculates overall attractiveness of investment in commercial facilities for each conversion option,scalar | Module Interface,,
SE.platform_specific_regional_concentration_weighting_factor,Unitless,"Amplifier/multiplier that amplifies differences in regional distribution from attractiveness, based on industry maturity.",scalar | Internal Calculation,only one pathway in this module,
SE.Policy_Duration,years,defines duration of conversion-related policies,Array | Constant | scenario input,,
SE.Policy_End,years,Defines time that conversion policies end,Array | Internal Calculation,,Conversion Policy
SE.Policy_Start,years,Defines time that conversion policies start,Array | Constant | scenario input,,Conversion Policy
SE.Policy_Switch,Unitless,Arrayed switch (0/1) that activates/deactivates various government policies around subsidies and loan guarantees,Array | Constant | scenario input,,Conversion Policy
SE.Policy_time_constraints,Unitless,Logic that activates conversion policies if they are in the time window provided by start and end times,Array | Internal Calculation,,
SE.PoP_Price,USD per gallon,module interface to IP.SE EtOH PoP price,scalar | module interface,,
SE.PoP_Price_Subs_Logic,USD per gallon,"Logic that controls activation of per-gallon product subsidy accruing at point of production.  Logic controlled by switch, time constraints, and subsidy amount",scalar | Sector Interface,,
SE.Price_Increase_Due_to_RINs,USD per gallon,Scenario defining additional price impact resulting from renewable identification number (RIN),scenario input | Graphical function | scenario input,,RIN Price Effects
SE.Progress_Ratios_Commercial,1/doubling,Assumed progress ratio for learning curve at commercial scale,scalar | Constant | Techno Economic Input,,Progress Ratios
SE.PV_Loan_Payment,US Dollars,Calculates PV of loan payments over length of loan for commercial-scale projects,Array | Internal Calculation,,
SE.PY_D_and_C_to_Startup,gal-projects/(ton-yr),Co-flow of process yield associated withmovement of facilities from design and construction to on line status,Array | Internal Calculation,,
SE.PY_in_In_Design_and_Cons,ProjectGalPerTon,Tracks total &quot;weight&quot; of process yield associated with plants in design and construction,Array | Internal Calculation,,
SE.PY_influx,gal-projects/(ton-yr),"Samples state of the industry process yield, applying it to influx of full commercial plants that begin design and construction  Resultant downstream structure used to track process yield for commercial-scale plants.",Array | Internal Calculation,,
